A,Reportar Ruta Violeta,Reporte de A1 (Centro > Presa),Reporte de A2 (Presa > Centro),Reporte de A3 (Centro > Natura),Reporte de A4 (Natura > Centro),Reporte de A5 (Centro > UABC),Reporte de A6 (UABC > Cen / Pre),Reporte de B1 (Paradas),Reporte de B2 (Paradas),Reporte de B3 (Paradas),Reporte de B4 (Paradas),C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,Mapas de E1
A1,Centro > Presa,1 - Zona Centro,1 - Zona Centro,1 - Zona Centro,1 - Zona Centro,1 - Zona Centro,1 - Zona Centro,1 - Zona Centro,1 - Zona Centro,1 - Terminal SITT,1 - Terminal SITT,"""","""","""","""","""","""","""","""","""","""",Enlace de todas las rutas
A2,Presa > Centro,2 - Torre Aguacaliente,2 - Torre Aguacaliente,2 - Plaza Landmark / CAS VISA,2 - Plaza Landmark / CAS VISA,2 - Torre Aguacaliente,2 - Torre Aguacaliente,2 - Plaza Landmark / CAS VISA,2 - Plaza Landmark / CAS VISA,2 - Simon Bolivar,2 - Simon Bolivar,"""","""","""","""","""","""","""","""","""","""",
A3,Centro > Natura,3 - Calimax Aguacaliente,3 - Calimax Aguacaliente,3 - Campestre (Dos Torres),3 - Campestre (Dos Torres),3 - Calimax Aguacaliente,3 - Calimax Aguacaliente,3 - Campestre (Dos Torres),3 - Campestre (Dos Torres),3 - IMSS Clinica 1,3 - IMSS Clinica 1,"""","""","""","""","""","""","""","""","""","""",
A4,Natura > Centro,4 - Plaza Landmark / CAS VISA,4 - Plaza Landmark / CAS VISA,4 - Ermita Sur,4 - Ermita Sur,4 - Plaza Landmark / CAS VISA,4 - Plaza Landmark / CAS VISA,4 - Ermita Sur,4 - Ermita Sur,4 - Templo,4 - Templo,"""","""","""","""","""","""","""","""","""","""",
A5,Centro o Presa > UABC,5 - Clinica 7,5 - Clinica 7,5 - 5 y 10,5 - 5 y 10,5 - Clinica 7,5 - Clinica 7,5 - 5 y 10,5 - 5 y 10,5 - Parque Morelos,5 - Parque Morelos,"""","""","""","""","""","""","""","""","""","""",
A6,UABC > Centro o Presa,6 - Campestre (Dos Torres),6 - Campestre (Dos Torres),6 - Siglo XXI,6 - Siglo XXI,6 - Campestre (Dos Torres),6 - Campestre (Dos Torres),6 - Siglo XXI,6 - Siglo XXI,6 - Mezzanine (Insurgentes),6 - Mezzanine (Insurgentes),"""","""","""","""","""","""","""","""","""","""",
A7,Regresar <,7 - Plaza Galerias,7 - Plaza Galerias,7 - Los Pinos (Puente Negro),7 - Los Pinos (Puente Negro),7 - Plaza Galerias,7 - Plaza Galerias,7 - Los Pinos (Puente Negro),7 - Los Pinos (Puente Negro),7 - Los Alamos,7 - Los Alamos,"""","""","""","""","""","""","""","""","""","""",
B,Reportar Suburbaja o SITT,8 - Plaza Las Palmas,8 - Plaza Las Palmas,8 - Simon Bolivar (Jardines),8 - Simon Bolivar (Jardines),8 - Plaza Las Palmas,8 - Plaza Las Palmas,8 - Simon Bolivar (Jardines),8 - Simon Bolivar (Jardines),8 - Alvaro Obregon,8 - Alvaro Obregon,"""","""","""","""","""","""","""","""","""","""",
B1,Suburbaja Centro > Tecate,9 - Ermita Sur,9 - Ermita Sur,9 - Plaza Gran Florido,9 - Plaza Gran Florido,9 - Ermita Sur,9 - Ermita Sur,9 - Plaza Gran Florido,9 - Plaza Gran Florido,9 - Buena Vista,9 - Buena Vista,"""","""","""","""","""","""","""","""","""","""",
B2,Suburbaja Tecate > Centro,10 - 5 y 10,10 - 5 y 10,10 - Parque Industrial el Florido,10 - Parque Industrial el Florido,10 - 5 y 10,10 - 5 y 10,10 - Parque Industrial el Florido,10 - Parque Industrial el Florido,10 - Las Americas,10 - Las Americas,"""","""","""","""","""","""","""","""","""","""",
B3,SITT Insurgentes > Centro,11 - Siglo XXI,11 - Siglo XXI,11 - Instituto de Movilidad Sustentable,11 - Instituto de Movilidad Sustentable,11 - Central Camionera,11 - Central Camionera,11 - El Refugio,11 - El Refugio,11 - Centinela ,11 - Centinela ,"""","""","""","""","""","""","""","""","""","""",
B4,SITT Centro > Insurgentes,12 - Plaza Villa Floresta,12 - Plaza Villa Floresta,12 - Valle Bonito,12 - Valle Bonito,12 - Plaza Alameda,12 - Plaza Alameda,12 - El Ojo de Agua,12 - El Ojo de Agua,12 - Juan Ojeda Robles,12 - Juan Ojeda Robles,"""","""","""","""","""","""","""","""","""","""",
B5,Regresar <,13 - Los Pinos (Puente Negro),13 - Los Pinos (Puente Negro),13 - Hacienda Los Venados,13 - Hacienda Los Venados,13 - IMSS Clinica 36,13 - IMSS Clinica 36,13 - Puente de San Pedro,13 - Puente de San Pedro,13 - Hospital General,13 - Hospital General,"""","""","""","""","""","""","""","""","""","""",
